,lr,max_depth,gamma,lambda,alpha,subsample_f,colsample_f,ACC,LogLoss,ACC_SPH_9,ACC_BH_n4_M8,ACC_BH_n2_M10,ACC_BH_n4_M10,ACC_BH_n6_M10,ACC_BH_n4_M12,n_trees,Training time,Time,ACC_train,ACC_val,Loss_train,Loss_val
69,0.01,1,0.0,0.1,0.1,0.5,0.5,0.45506944444444447,1.3761489824630009,0.8646790890269151,0.547810249192814,0.30682670667666917,0.10667779632721203,0.2287866108786611,0.6723718432754425,10000.0,0:02:25.808753,14808610.132157467,0.49068333333333336,0.49068333333333336,1.2972413314913565,1.3103681963262304
70,0.01,1,0.0,0.1,0.1,0.5,0.75,0.4544861111111111,1.3742262165107617,0.8642624593037816,0.5533494619170768,0.3015846398926805,0.10903220465270304,0.2263083451202263,0.6747439420434674,10000.0,0:02:24.617125,14808754.82087254,0.49161666666666665,0.49161666666666665,1.2955098053305478,1.3092019818973883
71,0.01,1,0.0,0.1,0.1,0.5,1.0,0.455625,1.3735014794549993,0.8652061209131199,0.5478217325988983,0.30359212050984935,0.11109247924876331,0.22789570449607222,0.6764316451506124,10000.0,0:02:20.730005,14808895.622177709,0.49175,0.49175,1.2944898446948403,1.3084392671971323
72,0.01,1,0.0,0.1,0.1,0.75,0.25,0.4493888888888889,1.3875659671442178,0.8644436997319035,0.5408408657434282,0.30203066721922917,0.10301968635301968,0.22254624229295117,0.6666108786610878,10000.0,0:02:26.116605,14809041.810271649,0.48591666666666666,0.48591666666666666,1.3070362218395903,1.31907451937834
73,0.01,1,0.0,0.1,0.1,0.75,0.5,0.4509444444444444,1.3831154205836413,0.8648131191209523,0.5436868897604941,0.30132283991962494,0.10119097193303907,0.2251287161601063,0.669303138789443,10000.0,0:02:25.868354,14809187.750124471,0.48741666666666666,0.48741666666666666,1.3043032911941186,1.3170984673446768
74,0.01,1,0.0,0.1,0.1,0.75,0.75,0.4534722222222222,1.3800455886730054,0.8656865188138549,0.5478643842446402,0.3031341412452988,0.10066047989298553,0.22677663917353993,0.6736122687114519,10000.0,0:02:25.873583,14809333.695411893,0.4875,0.4875,1.3031737995276131,1.3163621585427059
75,0.01,1,0.0,0.1,0.1,0.75,1.0,0.45252777777777775,1.380956034558393,0.8643124221022019,0.5461596197147861,0.30212161710658203,0.1035376766747512,0.22615984729023156,0.671140380126709,10000.0,0:02:21.441617,14809475.208776698,0.4882166666666667,0.4882166666666667,1.3025064103474258,1.3159198473483944
76,0.01,1,0.0,0.1,0.1,1.0,0.25,0.44819444444444445,1.3907911186663107,0.8679956445263423,0.5413890739506996,0.2989152935331622,0.09617776303789072,0.21871081013293203,0.6709051363560314,10000.0,0:02:24.726601,14809620.00486824,0.48255,0.48255,1.3157881127728421,1.327000955162363
77,0.01,1,0.0,0.1,0.1,1.0,0.5,0.448375,1.390797485084039,0.8666778749159382,0.5420031637665473,0.3029999164368681,0.09641162267921072,0.21684647302904564,0.6685453791960215,10000.0,0:02:25.149015,14809765.22530252,0.48225,0.48225,1.3153255044417513,1.3267511565490728
78,0.01,1,0.0,0.1,0.1,1.0,0.75,0.44730555555555557,1.3913786286583216,0.8662335498917209,0.5388146911519198,0.3026986381485504,0.09389083625438158,0.21531539038413466,0.6648151218703366,10000.0,0:02:25.019475,14809910.315057244,0.48228333333333334,0.48228333333333334,1.3152822519454892,1.3267134992055492
79,0.01,1,0.0,0.1,0.1,1.0,1.0,0.4478888888888889,1.3918693261703805,0.8657380213140892,0.5397935397935398,0.30213299874529487,0.09594864954984995,0.21939705151565347,0.6670263988045825,10000.0,0:02:20.424978,14810050.811705055,0.4825333333333333,0.4825333333333333,1.3152957987667546,1.3267752375910058
80,0.01,1,0.0,0.1,1.0,0.25,0.25,0.457375,1.368277547275911,0.8672618054396797,0.5542368661299693,0.3012078510317061,0.1058232090490155,0.23162101407043542,0.679672646110606,10000.0,0:02:25.640791,14810196.524765778,0.49075,0.49075,1.2944614044002325,1.3059242566990046
81,0.01,1,0.0,0.1,1.0,0.25,0.5,0.45770833333333333,1.3660423670008424,0.8646120437651382,0.5555555555555556,0.30025891589409504,0.10986173579876728,0.23218007503126303,0.6838731163100491,10000.0,0:02:25.650143,14810342.244707948,0.4940333333333333,0.4940333333333333,1.2888328885236182,1.3013750171616623
82,0.01,1,0.0,0.1,1.0,0.25,0.75,0.45875,1.365204516080253,0.8653044203502919,0.5576635047428856,0.3010259404454083,0.11255338748848505,0.23170528421403566,0.6813660477453581,10000.0,0:02:26.137412,14810488.451162335,0.4943,0.4943,1.2864650466741498,1.2996321947050489
83,0.01,1,0.0,0.1,1.0,0.25,1.0,0.46169444444444446,1.3602734070077271,0.8674327587642602,0.5601133900283475,0.30707610146862485,0.11538141585558606,0.23493573693874145,0.6848459616985845,10000.0,0:02:22.168043,14810630.689506732,0.4952166666666667,0.4952166666666667,1.2848860958734638,1.2985523245295043
84,0.01,1,0.0,0.1,1.0,0.5,0.25,0.4533055555555556,1.3808271746616074,0.8647793505412157,0.544272136068034,0.3003176195252424,0.10753225135247607,0.22781854569713142,0.6741787941787942,10000.0,0:02:25.849646,14810776.611280547,0.48833333333333334,0.48833333333333334,1.30243512046585,1.3139819650196263
85,0.01,1,0.0,0.1,1.0,0.5,0.5,0.4543055555555556,1.3759817343108152,0.8659785232664613,0.5468054739316598,0.30377327127659576,0.10548628428927681,0.22661870503597123,0.6766998341625208,10000.0,0:02:25.597763,14810922.280705163,0.4905,0.4905,1.298407508419782,1.3109829122503804
